case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
c107,27.01403553227283,0.0,,,
rc106,75.30673936826861,2.0,,,
r106,87.90400157294198,0.0,,,
r207,115.77550697359914,1.0,,,
c205,22.95806730960055,0.0,,,
c109,22.926566490366557,0.0,,,
rc203,52.70414184011474,1.0,,,
r102,42.95786125776749,1.0,,,
rc105,82.62517095693761,2.0,,,
c106,1.6368669428338762,0.0,,,
r112,127.81748596163573,3.0,,,
rc104,158.54061388873356,2.0,,,
c104,110.03901035876116,0.0,,,
r109,72.15513543834504,0.0,,,
r110,132.1438836206803,1.0,,,
c108,32.08522614428591,0.0,,,
c206,2.8759626534236986,0.0,,,
r203,52.84525174973805,1.0,,,
r105,53.65748961178065,0.0,,,
c101,27.01403553227283,0.0,,,
c204,64.80150222157204,0.0,,,
r101,43.518354115409466,1.0,,,
rc206,180.5578174636869,1.0,,,
rc101,132.9350564173851,3.0,,,
rc107,145.80931240463815,1.0,,,
r107,115.53269241768204,2.0,,,
r204,13.630354162194294,1.0,,,
rc202,152.88496419474154,-3.0,,,
rc102,102.67269311198038,1.0,,,
c203,88.48421177749367,1.0,,,
r209,229.7392426287289,0.0,,,
r206,47.92187447323363,1.0,,,
r208,141.45630836003397,1.0,,,
rc201,206.59942405171773,-4.0,,,
r104,137.3702372950711,0.0,,,
r108,93.82244011058276,1.0,,,
r201,112.68933048601434,-3.0,,,
r103,133.479820800982,3.0,,,
rc207,74.9866611259306,1.0,,,
c201,2.456556671501403,0.0,,,
c105,1.63686694283399,0.0,,,
c208,28.676178097449338,0.0,,,
rc208,235.72481545543556,0.0,,,
rc205,304.85410914609,-2.0,,,
c207,25.787626587707223,0.0,,,
c102,63.12342617476668,0.0,,,
r210,59.34523770821454,1.0,,,
r211,48.665919874423935,1.0,,,
r111,135.7226431408842,1.0,,,
r202,39.01673907065469,1.0,,,
c103,101.48860366403244,0.0,,,
rc108,250.29016520292956,1.0,,,
r205,111.04693840975244,1.0,,,
rc204,82.38476957636749,1.0,,,
rc103,141.14428395488608,2.0,,,
c202,151.5401247750484,1.0,,,
