case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
R1_2_8,369.63370195977313,1.0,,,
R1_2_7,440.079694389437,1.0,,,
R1_2_5,206.5101609612393,3.0,,,
R2_2_2,71.67165389774709,2.0,,,
R2_2_6,492.7496252050696,1.0,,,
R2_2_4,237.9061201302602,1.0,,,
R2_2_1,-381.7412417068563,2.0,,,
R2_2_9,236.3611702219241,1.0,,,
R1_2_10,507.24993667954,1.0,,,
R2_2_3,162.48598931280003,1.0,,,
R1_2_6,343.39250223786394,3.0,,,
R1_2_4,468.5306170820304,0.0,,,
R2_2_10,574.5635999875954,0.0,,,
R2_2_5,449.1299610021561,1.0,,,
R2_2_7,200.1003195096655,1.0,,,
R2_2_8,282.9141438745337,1.0,,,
R1_2_2,193.63727151269583,4.0,,,
R1_2_3,296.29350579395987,2.0,,,
R1_2_1,148.32735985229283,4.0,,,
R1_2_9,285.7868626556319,3.0,,,
