case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
rc106,4.052778263656913,36.36363636363637,,,
rc203,3.06384602674659,66.66666666666666,,,
rc105,10.92368203388788,20.0,,,
rc104,11.132951677518331,20.0,,,
rc206,3.0966261968440887,66.66666666666666,,,
rc101,7.680875325093131,13.333333333333334,,,
rc107,12.91924363084583,16.666666666666664,,,
rc202,3.770822736232754,-12.5,,,
rc102,5.381414859565872,0.0,,,
rc201,17.120963771953893,-22.22222222222222,,,
rc207,3.8131044128626734,33.33333333333333,,,
rc208,23.664003380585257,0.0,,,
rc205,5.817677918026474,0.0,,,
rc108,15.364899410957456,18.181818181818183,,,
rc204,23.90631802039943,33.33333333333333,,,
rc103,11.49693657225843,18.181818181818183,,,
