case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
RC1_2_5,175.758700936914,0.0,,,285.58472747802733
RC2_2_1,-62.41061761519359,0.0,,,1616.065803527832
C1_2_5,-126.21979617908028,-1.0,,,103.83363752365112
R1_2_8,-260.12201831209904,1.0,,,377.60514440536497
R1_2_7,-265.82612846448774,0.0,,,398.0242508888245
C1_2_7,-238.6444423703906,-1.0,,,264.9896991252899
R1_2_5,-257.4226976340706,0.0,,,241.761789226532
R2_2_2,172.80171558250504,0.0,,,4147.412301254272
R2_2_6,399.665723187914,-2.0,,,5052.500868940353
RC1_2_2,-30.266805545946227,1.0,,,358.9129204750061
RC2_2_2,162.1229383618347,-1.0,,,1749.3644210815428
C2_2_5,-15.567940741820394,0.0,,,1278.481659793854
C2_2_8,-161.1980041615143,1.0,,,1072.0074829101563
R2_2_4,-118.17350982008384,0.0,,,4884.168647241593
RC1_2_3,-258.40661743356395,0.0,,,371.7060383319855
RC1_2_10,-52.69578765501137,0.0,,,274.1856715202332
RC1_2_1,156.81096476838866,2.0,,,283.4044946193696
RC2_2_6,4.089048086321782,-1.0,,,4680.478142118453
RC2_2_9,15.810711825862654,-1.0,,,3415.482929515839
RC1_2_8,-333.3157700458478,0.0,,,315.2094219684601
R2_2_1,209.9941632959617,-2.0,,,2532.943735742569
C1_2_1,-2.847295712524556,0.0,,,94.9736156463623
R2_2_9,59.10536042678632,-1.0,,,5258.842059135437
RC1_2_4,-19.66283716795442,-1.0,,,243.12764711380004
RC2_2_8,62.18443353746761,-1.0,,,2462.160001897812
C1_2_10,-150.9946715838605,0.0,,,365.0598758220673
C1_2_4,40.49354044840493,0.0,,,275.5186916828156
RC1_2_6,-218.96372454809216,-1.0,,,249.06432118415836
C2_2_7,-27.286391929632146,0.0,,,1910.8168367862704
R1_2_10,-77.18878520685303,1.0,,,325.91713371276853
RC2_2_4,130.6102072898084,-1.0,,,3894.309843540192
C1_2_8,-207.2647950177629,-1.0,,,221.07628259658813
R2_2_3,149.35477950325867,-1.0,,,6097.6253038883215
C1_2_2,120.4270741956625,0.0,,,326.1190505027771
R1_2_6,-253.6042351516262,2.0,,,337.48183169364927
C2_2_3,45.86791436877115,-1.0,,,2262.397212600708
C1_2_6,-79.46818322443733,-1.0,,,233.15501413345336
RC2_2_3,134.76328667422604,-1.0,,,4077.2307104587553
R1_2_4,-192.69417412540497,-1.0,,,394.3537498950958
R2_2_10,150.116925852818,-1.0,,,4726.696238279343
C2_2_10,0.4227381801506453,0.0,,,2180.668710803986
C2_2_4,123.67246299946623,-1.0,,,3390.358397769928
RC1_2_9,71.24706392189273,0.0,,,276.170618724823
C1_2_3,-26.01453512159833,0.0,,,286.15040283203126
C1_2_9,-174.5665190610921,0.0,,,276.7851994514465
RC2_2_10,115.6593196734634,0.0,,,2372.9669545173647
RC2_2_5,-99.83935182929918,-1.0,,,2193.462608623505
R2_2_5,129.36063426311603,-2.0,,,23101.65115699768
C2_2_6,-279.40697017227103,0.0,,,1264.5183075904847
R2_2_7,-113.2474330988166,1.0,,,4331.921727275848
R2_2_8,-20.686317808560943,0.0,,,5263.328673744201
C2_2_9,175.36198123570398,0.0,,,2209.333952236176
RC1_2_7,52.97994734588247,0.0,,,373.0654084205629
R1_2_2,74.86356827137843,1.0,,,451.0543178558349
R1_2_3,-26.01780067101617,1.0,,,397.5542620658874
C2_2_2,55.503258676248606,-1.0,,,1616.5898727416993
R1_2_1,-5.209677649752848,2.0,,,238.18521070480347
RC2_2_7,74.91376454960164,-1.0,,,2925.6410534858705
C2_2_1,-62.9210864785141,0.0,,,1378.7147831439972
R1_2_9,-239.80439743556872,2.0,,,367.7047399520874
