case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_4_8,-1.2985762849888605,-2.380952380952381,,,6376.286947634042
C2_4_5,-1.5137878604082795,-6.666666666666667,,,61030.9657804728
C2_4_1,2.224588713763729,7.6923076923076925,,,32159.684272957697
C2_4_7,-2.3606379615232336,-6.666666666666667,,,835974.0065220688
C1_4_7,-0.091596436404084,2.380952380952381,,,5837.932977179753
C1_4_9,-10.021171842548998,-4.878048780487805,,,5312.229061787173
C1_4_6,2.8455355387618155,2.4390243902439024,,,5552.673903256136
C1_4_5,-1.215315252940281,-2.380952380952381,,,7406.746978346294
C2_4_2,-10.640407073184488,0.0,,,38585.708011152026
C2_4_9,1.2867464014951684,-6.666666666666667,,,78892.3280669708
C2_4_3,-1.5958382823184365,-6.666666666666667,,,287243.66125145013
C1_4_2,2.9908224086779094,0.0,,,5434.291189628821
C1_4_3,8.326392614532137,0.0,,,5911.896292775588
C1_4_4,-1.8147581561117363,-2.631578947368421,,,3117.062094359468
C2_4_8,0.6621992452227603,-6.666666666666667,,,46361.553448142105
C1_4_1,-2.805257921219581,-2.4390243902439024,,,2886.9109854735425
C2_4_6,-7.255105264008222,-6.666666666666667,,,120400.32631783665
C2_4_4,-3.911930134146061,7.6923076923076925,,,83721.17406219988
C1_4_10,2.6044046724674925,-2.5,,,5236.383922729578
C2_4_10,-2.9683740667084777,-7.142857142857142,,,90428.00007688116
