route#,Id
route0,0,32,189,171,94,51,174,136,65,115,86,0
route1,0,12,91,47,160,147,66,164,116,73,0
route2,0,179,24,61,100,20,154,173,27,64,109,0
route3,0,28,23,182,75,163,194,145,195,198,149,0
route5,0,45,41,85,80,31,25,172,77,110,162,0
route6,0,53,35,166,126,9,1,99,71,119,144,101,0
route7,0,113,139,11,129,6,122,34,95,158,67,39,0
route8,0,133,26,152,40,153,170,52,92,21,15,97,0
route9,0,114,159,138,199,184,63,111,142,81,137,183,0
route10,0,148,103,200,197,124,141,69,70,0
route11,0,93,55,135,58,151,16,150,38,22,140,187,56,0
route12,0,17,108,188,143,36,121,165,33,176,83,57,0
route13,0,90,5,10,167,43,13,2,175,155,78,107,0
route14,0,134,50,156,112,168,79,29,87,42,123,48,178,0
route15,0,177,157,98,3,88,186,127,54,185,49,37,0
route16,0,161,104,18,8,132,117,181,7,60,82,4,0
route17,0,120,19,192,196,59,105,89,169,14,96,130,74,30,0
route18,0,118,72,180,84,191,125,46,128,106,193,190,0
route19,0,62,131,44,102,146,68,76,0
