route#,Id
route0,0,145,2,16,8,98,6,189,177,102,77,198,108,0
route1,0,157,147,93,199,135,109,25,116,11,49,27,61,0
route2,0,149,81,124,134,103,101,154,0
route3,0,4,15,188,56,33,144,186,179,190,0
route4,0,7,55,41,91,0
route5,0,72,184,153,71,166,193,151,129,191,43,0
route6,0,87,161,115,162,171,122,170,17,200,42,0
route7,0,14,69,165,31,185,169,53,40,128,59,0
route8,0,168,123,176,21,126,156,172,148,197,0
route9,0,63,44,117,3,5,68,80,182,167,107,0
route10,0,140,57,173,163,136,95,58,127,74,97,0
route11,0,1,120,51,26,143,113,146,181,78,119,0
route12,0,106,85,94,12,19,114,178,23,22,47,82,174,0
route13,0,175,39,37,29,96,65,110,0
route14,0,46,54,89,125,164,141,70,0
route15,0,35,60,38,84,32,90,138,83,45,24,0
route16,0,196,13,20,152,99,194,142,159,10,52,0
route17,0,73,112,30,34,100,104,62,118,183,88,0
route18,0,132,155,67,150,36,137,133,64,195,180,28,75,0
route19,0,92,48,139,187,76,121,192,111,105,0
route20,0,18,158,50,86,131,66,130,160,79,9,0
