case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
c107,0.1978565143036371,0.0,,,
rc106,4.052778263656913,36.36363636363637,,,
r106,5.675743204665727,0.0,,,
r207,-0.7353224700556067,50.0,,,
c205,3.915086512551273,0.0,,,
c109,17.897050778521997,0.0,,,
rc203,3.06384602674659,66.66666666666666,,,
r102,4.857709091725324,5.555555555555555,,,
rc105,10.92368203388788,20.0,,,
c106,0.1978565143036234,0.0,,,
r112,6.332097739999706,22.22222222222222,,,
rc104,11.132951677518331,20.0,,,
c104,10.47348002539752,0.0,,,
r109,12.181098728220505,7.6923076923076925,,,
r110,24.52358291429895,8.333333333333332,,,
c108,3.265325218454349,0.0,,,
c206,0.4254008127224657,0.0,,,
r203,1.38920244410742,100.0,,,
r105,8.19219959118811,6.666666666666667,,,
c101,0.1978565143036234,0.0,,,
c204,2.4404302398867443,0.0,,,
r101,2.7444839569425903,0.0,,,
rc206,3.0966261968440887,66.66666666666666,,,
rc101,7.680875325093131,13.333333333333334,,,
rc107,12.91924363084583,16.666666666666664,,,
r107,11.758810126811808,9.090909090909092,,,
r204,8.602540063215985,150.0,,,
rc202,3.770822736232754,-12.5,,,
rc102,5.381414859565872,0.0,,,
c203,5.521741424993245,0.0,,,
r209,4.873037284648298,33.33333333333333,,,
r206,11.149501673650116,0.0,,,
r208,28.643094217637312,50.0,,,
rc201,17.120963771953893,-22.22222222222222,,,
r104,6.410695614202331,9.090909090909092,,,
r108,8.00210117628871,22.22222222222222,,,
r201,12.341874666777622,-37.5,,,
r103,4.54919679648217,7.142857142857142,,,
rc207,3.8131044128626734,33.33333333333333,,,
c201,0.417001641741878,0.0,,,
c105,0.1978565143036234,0.0,,,
c208,0.430829746910051,0.0,,,
rc208,23.664003380585257,0.0,,,
rc205,5.817677918026474,0.0,,,
c207,0.4244317900670021,0.0,,,
c102,0.1978565143036234,0.0,,,
r210,4.048144839362466,100.0,,,
r211,-3.745320306829696,50.0,,,
r111,9.400829498884608,8.333333333333332,,,
r202,-6.1202290555668695,100.0,,,
c103,0.2135885511417052,0.0,,,
rc108,15.364899410957456,18.181818181818183,,,
r205,6.213678039031876,66.66666666666666,,,
rc204,23.90631802039943,33.33333333333333,,,
rc103,11.49693657225843,18.181818181818183,,,
c202,11.144358563386856,0.0,,,
