case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_2_5,126.21856172070012,1.0,,,
C1_2_7,241.17730093410185,1.0,,,
C2_2_5,116.9213170263165,1.0,,,
C2_2_8,356.53062439726386,1.0,,,
C1_2_1,2.845062042998052,0.0,,,
C1_2_10,260.8940197339193,2.0,,,
C1_2_4,323.88949037888915,1.0,,,
C2_2_7,140.01285845729285,1.0,,,
C1_2_8,142.55677601200478,2.0,,,
C1_2_2,-214.5387752584052,2.0,,,
C2_2_3,186.19504844003336,2.0,,,
C1_2_6,82.28166221969332,1.0,,,
C2_2_10,159.23278316829897,1.0,,,
C2_2_4,217.6284072396652,2.0,,,
C1_2_3,110.35196839311948,2.0,,,
C1_2_9,199.46515798968176,2.0,,,
C2_2_6,307.5394918832012,1.0,,,
C2_2_9,124.23361093271478,1.0,,,
C2_2_2,140.3767887870424,2.0,,,
C2_2_1,62.78600754707964,1.0,,,
