case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
RC1_2_5,371.3117572077758,2.0,,,
RC2_2_1,-34.423406520170374,2.0,,,
RC1_2_2,265.63764483308296,3.0,,,
RC2_2_2,132.6316457551975,2.0,,,
RC1_2_3,284.98527118698485,1.0,,,
RC1_2_10,294.78200499842023,1.0,,,
RC1_2_1,215.0576567007365,4.0,,,
RC2_2_6,-118.87840149673777,2.0,,,
RC2_2_9,296.3269580489705,1.0,,,
RC1_2_8,288.8751831635413,1.0,,,
RC1_2_4,467.3181713865383,1.0,,,
RC2_2_8,217.72090052922024,2.0,,,
RC1_2_6,520.6736032345507,1.0,,,
RC2_2_4,202.5857202189286,2.0,,,
RC2_2_3,-43.01083609001398,2.0,,,
RC1_2_9,566.9655099758797,1.0,,,
RC2_2_10,263.2856506596636,1.0,,,
RC2_2_5,-16.19713735504638,2.0,,,
RC1_2_7,365.57113292425856,1.0,,,
RC2_2_7,139.86832269103252,2.0,,,
