case,CONSTRUCTION_TIME_CARG,IMPROVEMENT_TIME_CARG,ELAPSED_TIME_CARG,ELAPSED_TIME_ORTools
R2_6_2,78.3,153230.1,153308.4,41.15650153160095
RC2_6_1,64.5,149189.3,149253.8,33.42379713058472
RC2_6_2,60.7,165413.3,165474.0,53.205716609954834
R2_6_1,60.0,232486.2,232546.2,32.562095165252686
C1_6_1,14.8,2582.5,2597.3,49.735634565353394
C2_6_1,75.2,43191.1,43266.3,98.73249077796936
R1_6_1,16.5,10672.5,10689.0,55.72760987281799
RC1_6_1,15.0,7691.5,7706.5,34.24518179893494
R1_6_2,18.6,26203.1,26221.7,63.49290633201599
C1_6_2,15.8,11963.6,11979.4,59.37620306015015
C2_6_2,34.2,60719.3,60753.5,103.43377256393433
RC1_6_2,17.9,8248.7,8266.6,47.90484070777893
