case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
R2_4_6,11.0932963593185,12.5,,,
R2_4_4,18.578363220729656,0.0,,,
R1_4_4,13.579132564330942,2.7777777777777777,,,
R1_4_9,11.575751378404588,2.7777777777777777,,,
R1_4_1,6.78496474656991,10.0,,,
R1_4_8,20.267592224764613,0.0,,,
R1_4_3,17.528901811893373,8.333333333333332,,,
R2_4_10,11.562011970447273,12.5,,,
R2_4_9,15.62195278172966,12.5,,,
R1_4_2,10.730658240384988,8.333333333333332,,,
R2_4_8,20.41106730959497,0.0,,,
R2_4_1,-3.2286785444242705,37.5,,,
R2_4_7,17.4205570296979,0.0,,,
R2_4_5,11.051832119630529,12.5,,,
R1_4_7,17.15213894980495,2.7777777777777777,,,
R1_4_5,7.418048997523289,8.333333333333332,,,
R1_4_6,14.766707051604069,5.555555555555555,,,
R2_4_2,2.0510233604545043,25.0,,,
R2_4_3,3.5396363090835106,25.0,,,
R1_4_10,17.192866274075207,2.7777777777777777,,,
