case,CONSTRUCTION_TIME_CARG,IMPROVEMENT_TIME_CARG,ELAPSED_TIME_CARG,ELAPSED_TIME_ORTools
RC2_2_4,9.3,3887.7,3897.0,2.6901564598083496
RC2_2_8,7.5,2458.4,2465.9,3.7399981021881104
RC1_2_1,3.9,283.2,287.1,3.695505380630493
R2_2_2,7.3,4144.4,4151.7,4.287698745727539
R1_2_2,3.3,452.6,455.9,4.845682144165039
RC2_2_5,6.9,2190.4,2197.3,3.837391376495361
R1_2_3,3.4,399.0,402.4,4.845737934112549
RC2_2_9,7.8,3411.0,3418.8,3.317070484161377
C1_2_8,3.2,221.9,225.1,4.023717403411865
C2_2_5,5.4,1278.0,1283.4,4.91834020614624
C2_2_10,6.3,2178.8,2185.1000000000004,4.431289196014404
C1_2_3,3.5,288.8,292.3,6.14959716796875
C2_2_2,5.4,1615.5,1620.9,4.310127258300781
R1_2_5,3.2,242.2,245.4,3.6382107734680176
C1_2_9,3.4,277.4,280.79999999999995,4.014800548553467
C1_2_1,2.8,102.7,105.5,10.526384353637695
RC1_2_3,3.7,372.4,376.1,4.393961668014526
RC2_2_6,6.9,4677.2,4684.099999999999,3.621857881546021
C2_2_9,5.8,2209.0,2214.8,5.466047763824463
R1_2_8,3.6,379.8,383.4,5.79485559463501
C2_2_1,4.3,1377.9,1382.2,3.485216856002808
C2_2_3,5.9,2261.7,2267.6,5.202787399291992
RC2_2_2,7.6,1745.1,1752.6999999999998,3.3355789184570312
R2_2_3,8.3,6092.6,6100.900000000001,3.274696111679077
RC1_2_5,3.7,285.5,289.2,3.615272521972656
C2_2_7,5.1,1910.1,1915.2,4.383163213729858
R1_2_10,3.4,327.5,330.9,4.982866287231445
R1_2_9,3.1,369.3,372.4,4.695260047912598
RC1_2_4,4.3,242.4,246.7,3.572352886199951
C1_2_2,3.4,325.6,329.0,2.8809494972229004
RC1_2_2,3.9,358.1,362.0,3.0870795249938965
C2_2_8,4.9,1070.5,1075.4,3.39251708984375
C1_2_10,3.1,369.0,372.1,7.040124177932739
R2_2_4,10.6,4876.6,4887.200000000001,3.0313527584075928
RC1_2_10,3.6,275.6,279.20000000000005,5.014328479766846
RC2_2_3,9.1,4073.1,4082.2,4.969289541244507
R2_2_8,10.7,5256.2,5266.9,3.57132625579834
RC1_2_8,3.6,315.0,318.6,3.390578031539917
RC1_2_7,3.6,373.1,376.7000000000001,3.634591579437256
C2_2_4,6.0,3390.3,3396.3,5.9416022300720215
C1_2_4,3.5,277.4,280.9,5.381308317184448
R2_2_5,7.0,23098.6,23105.6,3.948843002319336
R2_2_9,8.0,5254.0,5262.0,3.1579408645629883
R2_2_10,7.2,4723.8,4731.0,4.303761720657349
R1_2_6,3.5,337.4,340.9,3.418168306350708
RC2_2_10,7.9,2370.9,2378.8,5.833045482635498
R1_2_7,3.5,398.9,402.4,4.375749111175537
R2_2_6,8.0,5048.9,5056.9,4.3991310596466064
C1_2_6,3.0,232.6,235.6,2.444985866546631
R2_2_1,5.6,2530.8,2536.4,3.4562642574310303
C1_2_7,3.2,265.8,269.0,4.010300874710083
C2_2_6,5.0,1264.4,1269.4,4.881692409515381
R2_2_7,10.9,4325.2,4336.099999999999,4.178272724151611
R1_2_4,3.5,394.4,397.9,3.546250104904175
R1_2_1,3.1,237.9,241.0,2.814789295196533
RC1_2_6,3.8,247.6,251.4,2.335678815841675
RC2_2_1,5.9,1613.6,1619.5,3.4341964721679688
RC1_2_9,3.7,277.0,280.7,4.529381275177002
C1_2_5,2.8,104.5,107.3,3.466362476348877
RC2_2_7,7.8,2921.0,2928.8,3.1589465141296387
