case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_4_8,335.5879625708704,4.0,,,
C2_4_5,290.7905360113259,2.0,,,
C2_4_1,240.811903058996,2.0,,,
C2_4_7,394.0760213780359,2.0,,,
C1_4_7,280.31728774501335,4.0,,,
C1_4_9,149.13688767973417,3.0,,,
C1_4_6,380.4502286061224,2.0,,,
C1_4_5,225.775067920953,1.0,,,
C2_4_2,-21.10740989961096,2.0,,,
C2_4_9,754.5160220248395,2.0,,,
C2_4_3,365.86277193782325,3.0,,,
C1_4_2,41.53546331422695,5.0,,,
C1_4_3,1360.0482130626915,5.0,,,
C1_4_4,751.4924466015518,1.0,,,
C2_4_8,62.77750664244832,3.0,,,
C1_4_1,0.0365813846010496,0.0,,,
C2_4_6,168.2750722151768,2.0,,,
C2_4_4,592.4764749855904,3.0,,,
C1_4_10,1038.5512260823953,3.0,,,
C2_4_10,327.0984469722662,2.0,,,
