case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_4_8,4.567543993734651,10.81081081081081,,,
C2_4_5,7.382925186072677,16.666666666666664,,,
C2_4_1,5.850558255098845,16.666666666666664,,,
C2_4_7,10.119744882118365,16.666666666666664,,,
C1_4_7,3.7789203408100023,10.256410256410255,,,
C1_4_9,2.11766066569449,8.333333333333332,,,
C1_4_6,5.318445728766035,5.0,,,
C1_4_5,3.156801406049661,2.5,,,
C2_4_2,-0.5370992546766183,16.666666666666664,,,
C2_4_9,19.52337637333077,16.666666666666664,,,
C2_4_3,9.105548801096642,27.27272727272727,,,
C1_4_2,0.5403774379386258,13.88888888888889,,,
C1_4_3,19.262310985539496,13.88888888888889,,,
C1_4_4,11.0460963688118,2.7777777777777777,,,
C2_4_8,1.4829799358038438,27.27272727272727,,,
C1_4_1,0.0005114832536968,0.0,,,
C2_4_6,4.341529337791008,16.666666666666664,,,
C2_4_4,16.002108715637057,27.27272727272727,,,
C1_4_10,15.137840491068536,8.333333333333332,,,
C2_4_10,8.550095721070196,18.181818181818183,,,
