case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_6_1,-4.196685770947292,-3.225806451612903,,,5122.211443964001
C1_6_2,3.377252281883135,0.0,,,20075.42278320568
R2_6_2,-8.974326385949679,-6.666666666666667,,,372401.0491532817
C2_6_1,-3.1662765858465147,-4.761904761904762,,,43721.744654753726
RC1_6_1,-36.37743829214041,1.639344262295082,,,22403.895716622188
RC2_6_1,-15.63445640095835,-9.090909090909092,,,446449.5030886963
RC1_6_2,-35.29643040808487,-1.694915254237288,,,17156.293681105268
RC2_6_2,-11.299160029778186,-10.0,,,310907.9340027904
R2_6_1,0.1418038552910032,-12.5,,,714062.2761675122
R1_6_1,-2.2445710602583007,1.6129032258064515,,,19080.79749767579
R1_6_2,-1.6135686728456409,0.0,,,41198.62927187794
C2_6_2,4.143331871462063,-9.090909090909092,,,58636.61812194575
