case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
RC1_4_5,834.9004503070073,4.0,,,
RC2_4_1,57.87788540592919,4.0,,,
RC2_4_6,251.8186752235615,3.0,,,
RC1_4_1,837.8879871288809,6.0,,,
RC1_4_8,582.2471126484616,1.0,,,
RC1_4_6,989.5867074729648,4.0,,,
RC2_4_2,-258.14394168926447,5.0,,,
RC1_4_3,844.8365118117026,1.0,,,
RC2_4_10,796.307085280815,0.0,,,
RC2_4_7,528.0892525397776,3.0,,,
RC2_4_8,671.8961326581984,2.0,,,
RC2_4_4,589.1012078743825,2.0,,,
RC1_4_2,937.8606504835788,4.0,,,
RC2_4_3,338.1908422338274,4.0,,,
RC1_4_10,985.0520064360672,1.0,,,
RC2_4_5,-632.2164926998394,5.0,,,
RC2_4_9,949.1061543122504,1.0,,,
RC1_4_7,982.9251969708566,2.0,,,
RC1_4_4,734.4689517732304,1.0,,,
RC1_4_9,847.8627687392818,1.0,,,
