case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
R2_4_6,-703.8095461416315,-1.0,,,42124.74914999008
RC1_4_5,-281.48140815083025,1.0,,,2409.580458879471
RC2_4_1,-110.67132572772609,-1.0,,,20111.49022016525
RC2_4_6,38.720742745601456,-3.0,,,28463.57561717033
C1_4_8,-101.0798510555187,-1.0,,,2078.994897460938
R2_4_4,-76.93495919006364,-1.0,,,107027.30892548562
C2_4_5,-65.0094683525067,-1.0,,,17064.140193080904
R1_4_4,-601.5256489768781,0.0,,,2862.4819400787355
RC1_4_1,-173.14372357940374,1.0,,,21953.94468288422
RC1_4_8,-385.8086874923247,0.0,,,3210.144842720032
RC1_4_6,247.25577476332185,0.0,,,2473.9057799816133
C2_4_1,94.81305759137013,1.0,,,9031.11789007187
RC2_4_2,-350.8767912541207,0.0,,,29894.38184552193
C2_4_7,-103.67644472019764,-1.0,,,262671.87894182204
R1_4_9,-365.0468484405428,-1.0,,,2590.570914888382
C1_4_7,-7.057775692528594,1.0,,,1545.624456977844
RC1_4_3,-508.39618325595256,-1.0,,,2705.376734447479
RC2_4_10,81.01244160039732,-2.0,,,101159.844257164
R1_4_1,-126.79412393692292,1.0,,,2248.559611749649
RC2_4_7,158.10538916927817,-3.0,,,28713.69814620018
C1_4_9,-800.9543043803269,-2.0,,,1954.7037007808683
C1_4_6,208.44723022987364,1.0,,,1785.6417677879333
R1_4_8,377.4927427138609,-1.0,,,1238.4604898929597
RC2_4_8,85.25592976481767,0.0,,,32821.408691501616
R1_4_3,34.09824769331135,1.0,,,2966.2550846099853
C1_4_5,-90.7665687456556,-1.0,,,1557.570917701721
R2_4_10,-190.3482887850123,0.0,,,81060.95044517517
R2_4_9,545.7142970126934,-2.0,,,42863.92945284843
C2_4_2,-465.4345052053577,0.0,,,13179.74294128418
C2_4_9,58.68224689122326,-1.0,,,23368.17965512276
C2_4_3,-71.09422844051915,-1.0,,,92523.18930163384
C1_4_2,224.4163334120658,0.0,,,2185.483467769623
R1_4_2,-38.62551383664322,-1.0,,,2813.2083792686462
R2_4_8,-207.3410066971328,0.0,,,42406.568542766574
C1_4_3,647.249522909854,0.0,,,2286.1300049304964
C1_4_4,-139.63414528744215,-1.0,,,1250.0950855731965
RC2_4_4,-241.2995522219844,0.0,,,34527.84760255814
R2_4_1,-230.002703256916,-1.0,,,38026.730735206605
R2_4_7,-693.0753076191058,0.0,,,63329.66167621613
RC1_4_2,-436.3153892918508,1.0,,,3173.0170894145967
R2_4_5,261.4052106235931,-2.0,,,125380.76693530082
R1_4_7,-715.7971658873648,0.0,,,2552.2514446258547
RC2_4_3,-62.940818193348605,-1.0,,,26805.94776849747
R1_4_5,-397.0742434902877,-1.0,,,2717.326600646973
R1_4_6,-488.7040128805347,0.0,,,2396.16779794693
R2_4_2,59.70203697907891,-3.0,,,96930.9117538929
C2_4_8,28.260787899759634,-1.0,,,16451.714316081998
RC1_4_10,48.50779004432661,-1.0,,,2585.841510486603
C1_4_1,-206.42436976351652,-1.0,,,470.0189657688141
R2_4_3,-745.9690250234298,0.0,,,35943.91795201301
RC2_4_5,-236.79479179281225,-2.0,,,29350.20908417702
RC2_4_9,359.7238113390968,0.0,,,66289.25665869712
C2_4_6,-316.3646488869558,-1.0,,,27229.684044647216
C2_4_4,-174.85634587206823,1.0,,,25702.499881219865
C1_4_10,200.50469138774588,-1.0,,,1682.6658802509307
RC1_4_7,-128.65384040671597,1.0,,,2050.3474318027497
RC1_4_4,-985.246151581201,0.0,,,3043.1460165023805
R1_4_10,-560.8826207670936,0.0,,,1278.917863559723
C2_4_10,-127.04074619456968,-1.0,,,29703.05281462669
RC1_4_9,-295.61023489862964,-1.0,,,2845.63720908165
