case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
R1_2_8,629.7557202718722,0.0,,,
R1_2_7,705.9058228539247,1.0,,,
R1_2_5,463.9328585953099,3.0,,,
R2_2_2,-101.13006168475796,2.0,,,
R2_2_6,93.08390201715564,3.0,,,
R2_2_4,356.07962995034404,1.0,,,
R2_2_1,-591.735405002818,4.0,,,
R2_2_9,177.2558097951378,2.0,,,
R1_2_10,584.4387218863931,0.0,,,
R2_2_3,13.13120980954136,2.0,,,
R1_2_6,596.9967373894901,1.0,,,
R1_2_4,661.2247912074354,1.0,,,
R2_2_10,424.44667413477737,1.0,,,
R2_2_5,319.76932673904,3.0,,,
R2_2_7,313.3477526084821,0.0,,,
R2_2_8,303.60046168309464,1.0,,,
R1_2_2,118.77370324131743,3.0,,,
R1_2_3,322.31130646497604,1.0,,,
R1_2_1,153.53703750204568,2.0,,,
R1_2_9,525.5912600912006,1.0,,,
