case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
RC1_4_5,1116.3818584578376,3.0,,,
RC2_4_1,168.54921113365526,5.0,,,
RC2_4_6,213.0979324779601,6.0,,,
RC1_4_1,1011.0317107082848,5.0,,,
RC1_4_8,968.0558001407862,1.0,,,
RC1_4_6,742.3309327096431,4.0,,,
RC2_4_2,92.73284956485622,5.0,,,
RC1_4_3,1353.2326950676552,2.0,,,
RC2_4_10,715.2946436804177,2.0,,,
RC2_4_7,369.9838633704994,6.0,,,
RC2_4_8,586.6402028933808,2.0,,,
RC2_4_4,830.4007600963669,2.0,,,
RC1_4_2,1374.1760397754297,3.0,,,
RC2_4_3,401.131660427176,5.0,,,
RC1_4_10,936.5442163917404,2.0,,,
RC2_4_5,-395.4217009070271,7.0,,,
RC2_4_9,589.3823429731538,1.0,,,
RC1_4_7,1111.5790373775726,1.0,,,
RC1_4_4,1719.7151033544314,1.0,,,
RC1_4_9,1143.4730036379117,2.0,,,
