case,CONSTRUCTION_TIME_CARG,IMPROVEMENT_TIME_CARG,ELAPSED_TIME_CARG,ELAPSED_TIME_ORTools
C1_4_1,6.4,479.9,486.3,16.281034231185913
C1_4_6,7.2,1810.6,1817.8,32.15823221206665
RC1_4_10,7.9,2609.8,2617.7000000000003,31.858489513397217
RC1_4_7,8.6,2075.8,2084.4,34.052568197250366
RC1_4_8,8.8,3241.3,3250.1000000000004,39.95515727996826
RC2_4_8,29.4,32827.2,32856.6,35.19130849838257
RC2_4_1,20.3,20112.8,20133.1,21.609779834747314
R2_4_8,38.4,42408.4,42446.8,40.23145723342896
R2_4_7,33.7,63327.1,63360.8,31.13832378387451
C1_4_2,7.8,2217.9,2225.7000000000003,40.2165322303772
R2_4_2,84.9,96877.6,96962.5,31.58824610710144
RC2_4_9,30.5,66292.4,66322.9,33.643341302871704
C2_4_7,21.6,262681.7,262703.3,31.421058177948
C1_4_4,9.7,1280.5,1290.2,40.10491442680359
RC2_4_6,23.9,28468.2,28492.1,28.524382829666138
C1_4_3,7.8,2317.0,2324.8,38.66999506950378
R1_4_6,8.7,2421.2,2429.9,33.73220205307007
RC2_4_4,38.4,34524.3,34562.700000000004,34.852397441864014
R1_4_8,9.8,1274.6,1284.4,45.939510107040405
R1_4_3,9.0,2999.1,3008.1,41.84491539001465
C1_4_8,7.8,2103.8,2111.6000000000004,32.6051025390625
R2_4_1,25.0,38033.4,38058.4,31.669264793396
C2_4_5,13.9,17078.2,17092.100000000002,27.9598069190979
C1_4_9,7.8,1983.7,1991.5,36.79629921913147
C2_4_8,16.6,16470.6,16487.199999999997,35.48568391799927
RC1_4_6,8.2,2493.7,2501.9,27.99422001838684
C1_4_5,6.7,1571.9,1578.6,21.02908229827881
R2_4_5,25.0,125376.2,125401.2,20.433064699172974
C2_4_1,12.7,9046.5,9059.2,28.082109928131104
RC1_4_5,8.1,2427.9,2436.0,26.41954112052917
R2_4_3,32.6,35938.1,35970.7,26.782047986984253
R1_4_9,9.0,2609.4,2618.4,27.82908511161804
R1_4_7,10.1,2576.7,2586.8,34.54855537414551
C1_4_7,7.3,1564.8,1572.1,26.47554302215576
R2_4_6,28.9,42122.3,42151.2,26.450850009918213
C2_4_3,18.9,92536.5,92555.4,32.21069836616516
C1_4_10,8.0,1706.8,1714.8,32.134119749069214
RC2_4_2,28.6,29883.7,29912.3,17.91815447807312
R1_4_5,8.1,2736.0,2744.1,26.773399353027344
C2_4_2,16.5,13197.4,13213.9,34.15705871582031
RC1_4_4,9.0,3066.9,3075.9,32.75398349761963
R1_4_1,7.6,2263.1,2270.7,22.140388250350952
R2_4_10,51851.8,29233.2,81085.0,24.0495548248291
C2_4_10,15.7,29720.2,29735.9,32.847185373306274
RC2_4_3,35.4,26794.4,26829.800000000003,23.85223150253296
R2_4_4,39.4,107014.7,107054.1,26.79107451438904
C2_4_4,21.2,25712.0,25733.2,30.70011878013611
R2_4_9,33.0,42859.2,42892.2,28.27054715156555
RC1_4_9,8.6,2871.8,2880.4,34.76279091835022
RC1_4_1,14.4,21971.4,21985.800000000003,31.85531711578369
R1_4_2,8.4,2837.6,2846.0,32.79162073135376
RC2_4_7,28.2,28709.9,28738.1,24.401853799819943
RC1_4_3,10.5,2720.7,2731.2,25.823265552520752
R1_4_10,9.5,1298.2,1307.7,28.7821364402771
C2_4_9,16.9,23380.9,23397.800000000003,29.62034487724304
R1_4_4,10.0,2897.3,2907.3,44.81805992126465
RC1_4_2,8.9,3183.4,3192.3,19.28291058540344
C2_4_6,14.3,27238.0,27252.3,22.615955352783203
RC2_4_5,32.3,29343.6,29375.9,25.690915822982788
RC2_4_10,32.6,101153.7,101186.3,26.45574283599853
