case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
rc106,75.30673936826861,2.0,,,
rc203,52.70414184011474,1.0,,,
rc105,82.62517095693761,2.0,,,
rc104,158.54061388873356,2.0,,,
rc206,180.5578174636869,1.0,,,
rc101,132.9350564173851,3.0,,,
rc107,145.80931240463815,1.0,,,
rc202,152.88496419474154,-3.0,,,
rc102,102.67269311198038,1.0,,,
rc201,206.59942405171773,-4.0,,,
rc207,74.9866611259306,1.0,,,
rc208,235.72481545543556,0.0,,,
rc205,304.85410914609,-2.0,,,
rc108,250.29016520292956,1.0,,,
rc204,82.38476957636749,1.0,,,
rc103,141.14428395488608,2.0,,,
