case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
c107,3.265325218454349,0.0,,,
c205,3.915086512551254,0.0,,,
c109,2.77125184218138,0.0,,,
c106,0.1978565143036234,0.0,,,
c104,13.372099934227874,0.0,,,
c108,3.878306073284892,0.0,,,
c206,0.490778609799266,0.0,,,
c101,3.265325218454349,0.0,,,
c204,11.018789699298084,0.0,,,
c203,15.03044195303103,33.33333333333333,,,
c201,0.417001641741878,0.0,,,
c105,0.1978565143036371,0.0,,,
c208,4.895216472763629,0.0,,,
c207,4.402121302100926,0.0,,,
c102,7.630052722684236,0.0,,,
c103,12.28229500956462,0.0,,,
c202,25.724006921583506,33.33333333333333,,,
