case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
r106,70.07272560480305,0.0,,,
r207,-6.568856221747751,1.0,,,
r102,71.2431615392436,1.0,,,
r112,62.19006474363312,2.0,,,
r109,139.70502131396097,1.0,,,
r110,261.9118655247128,1.0,,,
r203,13.052112643366854,3.0,,,
r105,111.02888105937244,1.0,,,
r101,44.946413762848806,0.0,,,
r107,125.18429261003848,1.0,,,
r204,71.01568872986059,3.0,,,
r209,44.30370577710846,1.0,,,
r206,101.03009446561316,0.0,,,
r208,208.16368722667917,1.0,,,
r104,62.27990789197565,1.0,,,
r108,76.89058978272294,2.0,,,
r201,141.09231119060178,-3.0,,,
r103,54.98614167907999,1.0,,,
r210,38.025843734067394,3.0,,,
r211,-33.43484891109938,1.0,,,
r111,98.58649895480288,1.0,,,
r202,-72.9347696551904,3.0,,,
r205,61.79005715574078,2.0,,,
