case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_2_5,-0.0012344583801677,0.0,,,
C1_2_7,2.5328585637112155,0.0,,,
C2_2_5,101.35337628449612,1.0,,,
C2_2_8,195.3326202357496,2.0,,,
C1_2_1,-0.0022336695265039,0.0,,,
C1_2_10,109.8993481500588,2.0,,,
C1_2_4,364.3830308272941,1.0,,,
C2_2_7,112.7264665276607,1.0,,,
C1_2_8,-64.70801900575816,1.0,,,
C1_2_2,-94.11170106274268,2.0,,,
C2_2_3,232.0629628088045,1.0,,,
C1_2_6,2.8134789952559918,0.0,,,
C2_2_10,159.6555213484496,1.0,,,
C2_2_4,341.3008702391314,1.0,,,
C1_2_3,84.33743327152115,2.0,,,
C1_2_9,24.898638928589666,2.0,,,
C2_2_6,28.132521710930178,1.0,,,
C2_2_9,299.5955921684188,1.0,,,
C2_2_2,195.88004746329105,1.0,,,
C2_2_1,-0.1350789314344638,1.0,,,
