CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,150,150,0,2017/01/01 00:00:00,2017/01/04 08:23:00,0
1,125,168,27,2017/01/03 08:47:00,2017/01/03 12:47:00,10
2,162,107,10,2017/01/01 04:30:00,2017/01/01 08:30:00,10
3,199,213,13,2017/01/02 09:04:00,2017/01/02 13:04:00,10
4,61,84,7,2017/01/01 21:14:00,2017/01/02 01:14:00,10
5,125,103,20,2017/01/01 01:33:00,2017/01/01 05:33:00,10
6,143,101,10,2017/01/01 02:44:00,2017/01/01 06:44:00,10
7,28,141,25,2017/01/02 18:00:00,2017/01/02 22:00:00,10
8,230,128,21,2017/01/02 00:22:00,2017/01/02 04:22:00,10
9,55,68,30,2017/01/01 08:30:00,2017/01/01 12:30:00,10
10,72,180,27,2017/01/01 23:48:00,2017/01/02 03:48:00,10
11,159,41,11,2017/01/01 19:25:00,2017/01/01 23:25:00,10
12,8,4,29,2017/01/01 11:35:00,2017/01/01 15:35:00,10
13,257,58,10,2017/01/01 09:52:00,2017/01/01 13:52:00,10
14,57,155,20,2017/01/01 05:47:00,2017/01/01 09:47:00,10
15,186,26,25,2017/01/02 12:39:00,2017/01/02 16:39:00,10
16,231,243,10,2017/01/01 06:13:00,2017/01/01 10:13:00,10
17,247,132,10,2017/01/01 14:08:00,2017/01/01 18:08:00,10
18,89,61,14,2017/01/01 15:52:00,2017/01/01 19:52:00,10
19,84,231,21,2017/01/02 11:18:00,2017/01/02 15:18:00,10
20,116,240,17,2017/01/02 10:01:00,2017/01/02 14:01:00,10
21,110,79,20,2017/01/01 11:41:00,2017/01/01 15:41:00,10
22,110,74,30,2017/01/01 08:14:00,2017/01/01 12:14:00,10
23,180,106,19,2017/01/01 01:33:00,2017/01/01 05:33:00,10
24,240,73,20,2017/01/01 06:37:00,2017/01/01 10:37:00,10
25,13,265,20,2017/01/01 09:55:00,2017/01/01 13:55:00,10
26,134,147,20,2017/01/01 05:01:00,2017/01/01 09:01:00,10
27,257,59,20,2017/01/01 10:36:00,2017/01/01 14:36:00,10
28,160,108,10,2017/01/01 02:58:00,2017/01/01 06:58:00,10
29,289,130,27,2017/01/01 20:58:00,2017/01/02 00:58:00,10
30,27,255,5,2017/01/01 15:02:00,2017/01/01 19:02:00,10
31,234,146,38,2017/01/01 22:28:00,2017/01/02 02:28:00,10
32,69,208,17,2017/01/02 13:48:00,2017/01/02 17:48:00,10
33,115,196,10,2017/01/01 01:51:00,2017/01/01 05:51:00,10
34,250,228,22,2017/01/03 02:47:00,2017/01/03 06:47:00,10
35,159,89,22,2017/01/03 06:05:00,2017/01/03 10:05:00,10
36,105,81,20,2017/01/01 03:30:00,2017/01/01 07:30:00,10
37,149,183,10,2017/01/01 01:08:00,2017/01/01 05:08:00,10
38,159,300,15,2017/01/01 08:01:00,2017/01/01 12:01:00,10
39,47,277,20,2017/01/01 08:54:00,2017/01/01 12:54:00,10
40,209,269,17,2017/01/02 04:43:00,2017/01/02 08:43:00,10
41,212,26,30,2017/01/01 13:53:00,2017/01/01 17:53:00,10
42,14,149,10,2017/01/01 07:47:00,2017/01/01 11:47:00,10
