case,TOTALCOST,TOTAL_NUMBER_OF VEHICLES,CONSTRUCTION_TIME,IMPROVEMENT_TIME,ELAPSED_TIME
C1_4_8,436.667813626389,5.0,,,
C2_4_5,355.8000043638326,3.0,,,
C2_4_1,145.99884546762587,1.0,,,
C2_4_7,497.7524660982335,3.0,,,
C1_4_7,287.37506343754194,3.0,,,
C1_4_9,950.0911920600612,5.0,,,
C1_4_6,172.0029983762488,1.0,,,
C1_4_5,316.5416366666086,2.0,,,
C2_4_2,444.3270953057468,2.0,,,
C2_4_9,695.8337751336162,3.0,,,
C2_4_3,436.9570003783424,4.0,,,
C1_4_2,-182.88087009783885,5.0,,,
C1_4_3,712.7986901528375,5.0,,,
C1_4_4,891.126591888994,2.0,,,
C2_4_8,34.51671874268868,4.0,,,
C1_4_1,206.4609511481176,1.0,,,
C2_4_6,484.6397211021326,3.0,,,
C2_4_4,767.3328208576586,2.0,,,
C1_4_10,838.0465346946494,4.0,,,
C2_4_10,454.1391931668359,3.0,,,
